aspsp_id,link
DEUTSCHE_BANK_DEUTBEBE,https://g.foolcdn.com/art/companylogos/square/db.png
aDEUTSCHE_BANK_SANDBOX_DEUTDEFF,https://g.foolcdn.com/art/companylogos/square/db.png
NORISBANK_NORSDE51,https://www.terence-tester.de/wp-content/uploads/2020/04/norisbank-erfahrungen.png
DEUTSCHE_BANK_SANDBOX_DEUTBEBE,https://g.foolcdn.com/art/companylogos/square/db.png
DEUTSCHE_BANK_DEUTDEFF,https://g.foolcdn.com/art/companylogos/square/db.png
SPARKASSE_POTTENSTEIN_NO_SPPOAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_MITTERSILL_BANK_AG_SPMIAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_FRANKENMARKT_AG_SPFRAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_VOITSBERG_KOEFLACH_BANKAKTIENGESELLSCHAFT_SPVOAT21XXX,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
DORNBIRNER_SPARKASSE_BANK_AG_DOSPAT2DXXX,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_DER_GEMEINDE_EGG_SPEGAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
BANKHAUS_KRENTSCHKER_AND_CO_AG_KRECAT2GWIE,https://kcdn.at/company/14846/465004/logo-bankhaus-krentschker---co-ag.companysquare.gif
SPARKASSE_LAMBACH_BANK_AG_SPLAAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
KARNTNER_SPARKASSE_AG_KSPKAT2KXXX,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_REUTTE_AG_SPREAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
STEIERMARKISCHE_BANK_UND_SPARKASSEN_AG_STSPAT2GXXX,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_BADEN_SPBDAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SALZBURGER_SPARKASSE_BANK_AG_SBGSAT2SXXX,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
LIENZER_SPARKASSE_AG_LISPAT21XXX,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_SCHWAZ_AG_SPSCAT22,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
KREMSER_BANK_UND_SPARKASSEN_AG_SPKDAT21XXX,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_NEUHOFEN_BANK_AG_SPNKAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_LANGENLOIS_SPLSAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_HERZOGENBURG-NEULENGBACH_BANK_AG_SPHEAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_KORNEUBURG_AG_SSKOAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_EFERDING_PEUERBACH_WAIZENKIRCHEN_SPPBAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_HORN_RAVELSBACH_KIRCHBERG_AG_SPHNAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_KUFSTEIN_TIROLER_SPARKASSE_VON_1877_SPKUAT22,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
DIE_ZWEITE_WIENER_VEREINS_SPARCASSE_GIBAAT21XXX,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_PREGARTEN_UNTERWEISSENBACH_AG_SPPRAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_FELDKIRCHEN_KARNTEN_SPFNAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_DER_STADT_AMSTETTEN_AG_SPAMAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_RATTENBERG_BANK_AG_SPRTAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
ALLGEMEINE_SPARKASSE_OBEROSTERREICH_AG_ASPKAT2LXXX,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_HAINBURG_BRUCK_NEUSIEDL_AG_SPHBAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
WIENER_NEUSTADTER_SPARKASSE_WINSATWNXXX,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
SPARKASSE_NEUNKIRCHEN_SPNGAT21,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
ERSTE_GROUP_BANK_AG_GIBAATWGXXX,https://www.fintechfutures.com/files/2017/02/Erste-Group-logo.png
